"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Floats","max(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0)==false;","assert args[0].length > 0;","AssertionRelation.INCOMPARABLE",""
"Shorts","min(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0) == false;","assert args[0].length > 0;","AssertionRelation.INCOMPARABLE",""
"Shorts","max(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0) == false;","assert args[0].length > 0;","AssertionRelation.INCOMPARABLE",""
"Graph","addEdge(sourceVertex targetVertex)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert receiverObjectID.contains(arg[0])==false || receiverObjectID.contains(arg[1])==false;","assert !receiverObjectID.containsVertex(args[0]) || !receiverObjectID.containsVertex(args[1]);","AssertionRelation.INCOMPARABLE",""
"AbstractGraph","assertVertexExist(v)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert receiverObjectID.containsVertex(arg[0])==false;","assert !receiverObjectID.containsVertex(args[0]);","AssertionRelation.INCOMPARABLE",""
"ArraysMDE","fn_inverse(a arange)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert min(args[0])<0 || max(args[0])>=args[1];","assert java.util.Arrays.stream(args[0]).anyMatch(val -> val < 0 || val >= args[1]);","AssertionRelation.INCOMPARABLE",""
"ArraysMDE","any_null(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert java.util.Arrays.contains(null) ? methodResultID == true : methodResultID == false;","assert methodResultID == java.util.Arrays.stream(args[0]).anyMatch(elt -> elt == null);","AssertionRelation.INCOMPARABLE",""
"ArraysMDE","all_null(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert java.util.Arrays.asList(args[0]).stream().allMatch(e -> e==null)?methodResultID==true : methodResultID==false;","assert methodResultID == java.util.Arrays.stream(args[0]).allMatch(elt -> elt == null);","AssertionRelation.INCOMPARABLE",""
"ArraysMDE","any_null(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert java.util.Arrays.asList(array).stream().anyMatch(e -> e==null) ? methodResultID==true: methodResultID==false;","assert methodResultID == args[0].stream().anyMatch(elt -> elt == null);","AssertionRelation.INCOMPARABLE",""
"FuzzyFloat","gte(d1 d2)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]>args[1] ? methodResultID==true:methodResultID==false;","assert methodResultID == (args[0] >= args[1]);","AssertionRelation.INCOMPARABLE",""
"MathMDE","lshift(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]<<args[1];","assert methodResult == (args[0] << args[1]);","AssertionRelation.INCOMPARABLE",""
"MathMDE","lshift(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]<<args[1];","assert methodResult == (args[0] << args[1]);","AssertionRelation.INCOMPARABLE",""
"RegexUtil","asRegex(s)","ConditionKind.THROWS","Error","ConditionKind.THROWS","Error","assert (plume.RegexUtil.isRegex(args[0])) == false;","assert !receiverObjectID.isRegex(args[0]);","AssertionRelation.INCOMPARABLE",""
"RegexUtil","asRegex(s groups)","ConditionKind.THROWS","Error","ConditionKind.THROWS","Error","assert (plume.RegexUtil.isRegex(args[0], args[1])) == false;","assert !receiverObjectID.isRegex(args[0], args[1]);","AssertionRelation.INCOMPARABLE",""
"WeakIdentityHashMap","get(key)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.containsKey(args[0])==false ? methodResultID==null;","assert (methodResultID == null && !receiverObjectID.containsKey(args[0])) || receiverObjectID.get(args[0]) == methodResultID;","AssertionRelation.INCOMPARABLE",""
